,antecedents,consequents
582,"['travisatreo_youareinlove', 'kaleo_alltheprettygirls']",['mileycyrus_fu']
583,"['kidink_bereal', 'boyslikegirls_twoisbetterthanone']",['kaleo_alltheprettygirls']
584,"['kidink_bereal', 'kaleo_alltheprettygirls']",['boyslikegirls_twoisbetterthanone']
585,"['mileycyrus_fu', 'lilwayne_presidentcarter']",['leonbridges_cominghome']
586,"['leonbridges_cominghome', 'lilwayne_presidentcarter']",['mileycyrus_fu']
587,"['mileycyrus_fu', 'leonbridges_cominghome']",['lilwayne_presidentcarter']
588,"['lukebryan_shegetmehigh', 'leonbridges_cominghome']",['mileycyrus_fu']
589,"['mileycyrus_fu', 'leonbridges_cominghome']",['lukebryan_shegetmehigh']
590,"['lukebryan_nightone', 'leonbridges_cominghome']",['lukebryan_suntancity']
591,"['lukebryan_suntancity', 'leonbridges_cominghome']",['lukebryan_nightone']
592,"['lukebryan_nightone', 'leonbridges_cominghome']",['mileycyrus_fu']
593,"['mileycyrus_fu', 'leonbridges_cominghome']",['lukebryan_nightone']
594,"['lukebryan_nightone', 'travisatreo_youareinlove']",['leonbridges_cominghome']
595,"['lukebryan_nightone', 'leonbridges_cominghome']",['travisatreo_youareinlove']
596,"['travisatreo_youareinlove', 'leonbridges_cominghome']",['lukebryan_nightone']
597,"['travisatreo_youareinlove', 'mileycyrus_fu']",['leonbridges_cominghome']
598,"['travisatreo_youareinlove', 'leonbridges_cominghome']",['mileycyrus_fu']
599,"['mileycyrus_fu', 'leonbridges_cominghome']",['travisatreo_youareinlove']
600,"['mumford&sons_littlelionman', 'travisatreo_youareinlove']",['kanyewest_gorgeous']
601,"['liluzivert_thewaylifegoes(feat.ohwonder)', 'kanyewest_gorgeous']",['lilwayne_presidentcarter']
602,"['liluzivert_thewaylifegoes(feat.ohwonder)', 'lilwayne_presidentcarter']",['kanyewest_gorgeous']
603,"['kanyewest_gorgeous', 'lilwayne_presidentcarter']",['liluzivert_thewaylifegoes(feat.ohwonder)']
604,"['kanyewest_gorgeous', 'lilwayne_presidentcarter']",['mileycyrus_fu']
605,"['mileycyrus_fu', 'lilwayne_presidentcarter']",['kanyewest_gorgeous']
606,"['liluzivert_thewaylifegoes(feat.ohwonder)', 'kanyewest_gorgeous']",['mileycyrus_fu']
607,"['liluzivert_thewaylifegoes(feat.ohwonder)', 'mileycyrus_fu']",['kanyewest_gorgeous']
608,"['thechainsmokers_settingfires', 'travisatreo_youareinlove']",['kanyewest_gorgeous']
609,"['thechainsmokers_settingfires', 'kanyewest_gorgeous']",['travisatreo_youareinlove']
610,"['johnnyswim_diamonds', 'kanyewest_gorgeous']",['ethanpierce_darkskies']
611,"['kanyewest_gorgeous', 'ethanpierce_darkskies']",['johnnyswim_diamonds']
612,"['kipmoore_beermoney', 'kanyewest_gorgeous']",['mileycyrus_fu']
613,"['lukebryan_nightone', 'kanyewest_gorgeous']",['lukebryan_shegetmehigh']
614,"['lukebryan_nightone', 'lukebryan_shegetmehigh']",['kanyewest_gorgeous']
615,"['kanyewest_gorgeous', 'lukebryan_shegetmehigh']",['lukebryan_nightone']
616,"['kanyewest_gorgeous', 'lukebryan_shegetmehigh']",['lukebryan_suntancity']
617,"['lukebryan_suntancity', 'lukebryan_shegetmehigh']",['kanyewest_gorgeous']
618,"['kanyewest_gorgeous', 'lukebryan_shegetmehigh']",['mileycyrus_fu']
619,"['kanyewest_gorgeous', 'lukebryan_shegetmehigh']",['travisatreo_youareinlove']
620,"['travisatreo_youareinlove', 'lukebryan_shegetmehigh']",['kanyewest_gorgeous']
621,"['lukebryan_nightone', 'kanyewest_gorgeous']",['lukebryan_suntancity']
622,"['lukebryan_nightone', 'lukebryan_suntancity']",['kanyewest_gorgeous']
623,"['kanyewest_gorgeous', 'lukebryan_suntancity']",['lukebryan_nightone']
624,"['lukebryan_nightone', 'kanyewest_gorgeous']",['mileycyrus_fu']
625,"['kanyewest_gorgeous', 'mileycyrus_fu']",['lukebryan_nightone']
626,"['lukebryan_nightone', 'kanyewest_gorgeous']",['travisatreo_youareinlove']
627,"['lukebryan_nightone', 'travisatreo_youareinlove']",['kanyewest_gorgeous']
628,"['kanyewest_gorgeous', 'mileycyrus_fu']",['lukebryan_suntancity']
629,"['lukebryan_suntancity', 'mileycyrus_fu']",['kanyewest_gorgeous']
630,"['kidink_bereal', 'kanyewest_gorgeous']",['lukebryan_suntancity']
631,"['kidink_bereal', 'lukebryan_suntancity']",['kanyewest_gorgeous']
632,"['kanyewest_gorgeous', 'travisatreo_youareinlove']",['lukebryan_suntancity']
633,"['travisatreo_youareinlove', 'lukebryan_suntancity']",['kanyewest_gorgeous']
634,"['kanyewest_gorgeous', 'lukebryan_suntancity']",['travisatreo_youareinlove']
635,"['kanyewest_gorgeous', 'jackjohnson_igotyou']",['lukebryan_suntancity']
636,"['lukebryan_suntancity', 'jackjohnson_igotyou']",['kanyewest_gorgeous']
637,"['jimmybuffett_remittanceman', 'kanyewest_gorgeous']",['mileycyrus_fu']
638,"['jimmybuffett_remittanceman', 'mileycyrus_fu']",['kanyewest_gorgeous']
639,"['kanyewest_gorgeous', 'mileycyrus_fu']",['travisatreo_youareinlove']
640,"['travisatreo_youareinlove', 'mileycyrus_fu']",['kanyewest_gorgeous']
641,"['kanyewest_gorgeous', 'saintwknd_golden']",['ethanpierce_darkskies']
642,"['kanyewest_gorgeous', 'ethanpierce_darkskies']",['saintwknd_golden']
643,"['jimmybuffett_remittanceman', 'kanyewest_gorgeous']",['travisatreo_youareinlove']
644,"['jimmybuffett_remittanceman', 'travisatreo_youareinlove']",['kanyewest_gorgeous']
645,"['zayn_foolforyou', 'kanyewest_gorgeous']",['travisatreo_youareinlove']
646,"['zayn_foolforyou', 'travisatreo_youareinlove']",['kanyewest_gorgeous']
647,"['kanyewest_gorgeous', 'boyslikegirls_twoisbetterthanone']",['travisatreo_youareinlove']
648,"['travisatreo_youareinlove', 'boyslikegirls_twoisbetterthanone']",['kanyewest_gorgeous']
649,"['kanyewest_gorgeous', 'jackjohnson_igotyou']",['travisatreo_youareinlove']
650,"['travisatreo_youareinlove', 'jackjohnson_igotyou']",['kanyewest_gorgeous']
651,"['kanyewest_gorgeous', 'blackbear_girlslikeu']",['travisatreo_youareinlove']
652,"['blackbear_girlslikeu', 'travisatreo_youareinlove']",['kanyewest_gorgeous']
653,"['lukebryan_nightone', 'lilwayne_presidentcarter']",['lukebryan_shegetmehigh']
654,"['lukebryan_shegetmehigh', 'lilwayne_presidentcarter']",['lukebryan_nightone']
655,"['lukebryan_shegetmehigh', 'lilwayne_presidentcarter']",['mileycyrus_fu']
656,"['mileycyrus_fu', 'lilwayne_presidentcarter']",['lukebryan_shegetmehigh']
657,"['lukebryan_nightone', 'lilwayne_presidentcarter']",['mileycyrus_fu']
658,"['mileycyrus_fu', 'lilwayne_presidentcarter']",['lukebryan_nightone']
659,"['lukebryan_nightone', 'travisatreo_youareinlove']",['lilwayne_presidentcarter']
660,"['lukebryan_nightone', 'lilwayne_presidentcarter']",['travisatreo_youareinlove']
661,"['travisatreo_youareinlove', 'lilwayne_presidentcarter']",['lukebryan_nightone']
662,"['travisatreo_youareinlove', 'mileycyrus_fu']",['lilwayne_presidentcarter']
663,"['travisatreo_youareinlove', 'lilwayne_presidentcarter']",['mileycyrus_fu']
664,"['mileycyrus_fu', 'lilwayne_presidentcarter']",['travisatreo_youareinlove']
665,"['ironchic_cutesymonsterman', 'restorations_kindofcomfort']",['ironchic_(castle)numbskull']
666,"['restorations_kindofcomfort', 'ironchic_(castle)numbskull']",['ironchic_cutesymonsterman']
667,['restorations_kindofcomfort'],"['ironchic_cutesymonsterman', 'ironchic_(castle)numbskull']"
668,"['restorations_kindofcomfort', 'elliegoulding_myblood']",['ironchic_(castle)numbskull']
669,"['restorations_kindofcomfort', 'ironchic_(castle)numbskull']",['elliegoulding_myblood']
670,"['ironchic_cutesymonsterman', 'restorations_kindofcomfort']",['elliegoulding_myblood']
671,"['elliegoulding_myblood', 'restorations_kindofcomfort']",['ironchic_cutesymonsterman']
672,"['ironchic_cutesymonsterman', 'restorations_inperpetuitythroughouttheuniverse']",['ironchic_(castle)numbskull']
673,"['ironchic_(castle)numbskull', 'restorations_inperpetuitythroughouttheuniverse']",['ironchic_cutesymonsterman']
674,"['ironchic_cutesymonsterman', 'sigala_easylove']",['ironchic_(castle)numbskull']
675,"['sigala_easylove', 'ironchic_(castle)numbskull']",['ironchic_cutesymonsterman']
676,"['ironchic_cutesymonsterman', 'kooljohn_bluehunnids']",['ironchic_(castle)numbskull']
677,"['kooljohn_bluehunnids', 'ironchic_(castle)numbskull']",['ironchic_cutesymonsterman']
678,"['ironchic_cutesymonsterman', 'frances_letitout']",['ironchic_(castle)numbskull']
679,"['elliegoulding_myblood', 'ironchic_(castle)numbskull']",['ironchic_cutesymonsterman']
680,"['empireofthesun_wearethepeople', 'ironchic_(castle)numbskull']",['ironchic_cutesymonsterman']
681,"['ironchic_cutesymonsterman', 'jonasblue_perfectstrangers']",['ironchic_(castle)numbskull']
682,"['jonasblue_perfectstrangers', 'ironchic_(castle)numbskull']",['ironchic_cutesymonsterman']
683,"[""jerrodniemann_shinin'onme"", 'ironchic_cutesymonsterman']",['ironchic_(castle)numbskull']
684,"[""jerrodniemann_shinin'onme"", 'ironchic_(castle)numbskull']",['ironchic_cutesymonsterman']
685,"['ethanpierce_darkskies', 'ironchic_(castle)numbskull']",['ironchic_cutesymonsterman']
686,"['theband_uponcripplecreek-2000digitalremaster', 'ironchic_cutesymonsterman']",['ironchic_(castle)numbskull']
687,"['theband_uponcripplecreek-2000digitalremaster', 'ironchic_(castle)numbskull']",['ironchic_cutesymonsterman']
688,"['theoryofadeadman_badgirlfriend', 'ironchic_cutesymonsterman']",['ironchic_(castle)numbskull']
689,"['theoryofadeadman_badgirlfriend', 'ironchic_(castle)numbskull']",['ironchic_cutesymonsterman']
690,"['halsey_ghost-lostkingsremix', 'sigala_easylove']",['ironchic_(castle)numbskull']
691,"['halsey_ghost-lostkingsremix', 'ironchic_(castle)numbskull']",['sigala_easylove']
692,"['halsey_ghost-lostkingsremix', 'owlcity_unbelievable']",['ironchic_(castle)numbskull']
693,"['halsey_ghost-lostkingsremix', 'ironchic_(castle)numbskull']",['owlcity_unbelievable']
694,"['owlcity_unbelievable', 'ironchic_(castle)numbskull']",['halsey_ghost-lostkingsremix']
695,"['douglocke_#thiscouldbeus', 'ironchic_(castle)numbskull']",['sigala_easylove']
696,"['sigala_easylove', 'ethanpierce_darkskies']",['ironchic_(castle)numbskull']
697,"['sigala_easylove', 'ironchic_(castle)numbskull']",['ethanpierce_darkskies']
698,"['ethanpierce_darkskies', 'ironchic_(castle)numbskull']",['sigala_easylove']
699,"['mario_ichooseyou', 'sigala_easylove']",['ironchic_(castle)numbskull']
700,"['mario_ichooseyou', 'ironchic_(castle)numbskull']",['sigala_easylove']
701,"['guysebastian_likeadrum-thechainsmokersremix', 'ironchic_(castle)numbskull']",['frances_letitout']
702,"['frances_letitout', 'kooljohn_bluehunnids']",['ironchic_(castle)numbskull']
703,"['kooljohn_bluehunnids', 'ironchic_(castle)numbskull']",['frances_letitout']
704,"['kooljohn_bluehunnids', 'ironchic_(castle)numbskull']",['ethanpierce_darkskies']
705,"['frances_letitout', 'elliegoulding_myblood']",['ironchic_(castle)numbskull']
706,"['ethanpierce_darkskies', 'ironchic_(castle)numbskull']",['frances_letitout']
707,"['elliegoulding_myblood', 'empireofthesun_wearethepeople']",['ironchic_(castle)numbskull']
708,"['mario_ichooseyou', 'ironchic_(castle)numbskull']",['ethanpierce_darkskies']
709,"[""davinci'snotebook_unclebuford#1"", 'ironchic_(castle)numbskull']",['robinthicke_sextherapy']
710,"[""davinci'snotebook_unclebuford#1"", 'robinthicke_sextherapy']",['ironchic_(castle)numbskull']
711,"['ironchic_(castle)numbskull', 'robinthicke_sextherapy']","[""davinci'snotebook_unclebuford#1""]"
712,"['ironchic_cutesymonsterman', 'sigala_easylove']",['ethanpierce_darkskies']
713,"['mario_ichooseyou', 'ironchic_cutesymonsterman']",['sigala_easylove']
714,"['mario_ichooseyou', 'sigala_easylove']",['ironchic_cutesymonsterman']
715,"['ironchic_cutesymonsterman', 'sigala_easylove']",['mario_ichooseyou']
716,"['ironchic_cutesymonsterman', 'kooljohn_bluehunnids']",['ethanpierce_darkskies']
717,"['frances_letitout', 'elliegoulding_myblood']",['ironchic_cutesymonsterman']
718,"[""joeladams_pleasedon'tgo"", 'frances_letitout']",['ironchic_cutesymonsterman']
719,"['johnnyswim_diamonds', 'ironchic_cutesymonsterman']",['frances_letitout']
720,"['ironchic_cutesymonsterman', 'frances_letitout']",['ethanpierce_darkskies']
721,"['elliegoulding_myblood', 'empireofthesun_wearethepeople']",['ironchic_cutesymonsterman']
722,"[""jerrodniemann_shinin'onme"", 'ironchic_cutesymonsterman']",['elliegoulding_myblood']
723,"[""jerrodniemann_shinin'onme"", 'elliegoulding_myblood']",['ironchic_cutesymonsterman']
724,"['elliegoulding_myblood', 'ethanpierce_darkskies']",['ironchic_cutesymonsterman']
725,"[""joeladams_pleasedon'tgo"", 'empireofthesun_wearethepeople']",['ironchic_cutesymonsterman']
726,"['johnnyswim_diamonds', 'ironchic_cutesymonsterman']",['empireofthesun_wearethepeople']
727,"['ironchic_cutesymonsterman', 'owlcity_unbelievable']",['ethanpierce_darkskies']
728,"['owlcity_unbelievable', 'ethanpierce_darkskies']",['ironchic_cutesymonsterman']
729,"['mario_ichooseyou', 'ironchic_cutesymonsterman']",['owlcity_unbelievable']
730,"['mario_ichooseyou', 'owlcity_unbelievable']",['ironchic_cutesymonsterman']
731,"['ironchic_cutesymonsterman', 'owlcity_unbelievable']",['mario_ichooseyou']
732,"['ironchic_cutesymonsterman', 'noahguthrie_sexyandiknowit']",['jonasblue_perfectstrangers']
733,"['noahguthrie_sexyandiknowit', 'jonasblue_perfectstrangers']",['ironchic_cutesymonsterman']
734,"['ironchic_cutesymonsterman', 'cashmerecat_trustnobody(feat.selenagomez&torylanez)']",['jonasblue_perfectstrangers']
735,"['cashmerecat_trustnobody(feat.selenagomez&torylanez)', 'jonasblue_perfectstrangers']",['ironchic_cutesymonsterman']
736,"[""jerrodniemann_shinin'onme"", 'ironchic_cutesymonsterman']",['jonasblue_perfectstrangers']
737,"[""jerrodniemann_shinin'onme"", 'jonasblue_perfectstrangers']",['ironchic_cutesymonsterman']
738,"[""jerrodniemann_shinin'onme"", 'ironchic_cutesymonsterman']",['cashmerecat_trustnobody(feat.selenagomez&torylanez)']
739,"[""jerrodniemann_shinin'onme"", 'cashmerecat_trustnobody(feat.selenagomez&torylanez)']",['ironchic_cutesymonsterman']
740,"['ironchic_cutesymonsterman', 'cashmerecat_trustnobody(feat.selenagomez&torylanez)']","[""jerrodniemann_shinin'onme""]"
741,"['ironchic_cutesymonsterman', 'brooks&dunn_thelonggoodbye']","[""joeladams_pleasedon'tgo""]"
742,"[""joeladams_pleasedon'tgo"", 'brooks&dunn_thelonggoodbye']",['ironchic_cutesymonsterman']
743,"['johnnyswim_diamonds', 'ironchic_cutesymonsterman']","[""joeladams_pleasedon'tgo""]"
744,"['johnnyswim_diamonds', ""joeladams_pleasedon'tgo""]",['ironchic_cutesymonsterman']
745,"[""joeladams_pleasedon'tgo"", 'ethanpierce_darkskies']",['ironchic_cutesymonsterman']
746,"['theband_uponcripplecreek-2000digitalremaster', 'ironchic_cutesymonsterman']","[""joeladams_pleasedon'tgo""]"
747,"['theband_uponcripplecreek-2000digitalremaster', ""joeladams_pleasedon'tgo""]",['ironchic_cutesymonsterman']
748,"['johnnyswim_diamonds', 'ironchic_cutesymonsterman']",['ethanpierce_darkskies']
749,"['mario_ichooseyou', 'ironchic_cutesymonsterman']",['ethanpierce_darkskies']
750,"['mario_ichooseyou', 'ethanpierce_darkskies']",['ironchic_cutesymonsterman']
751,"['halsey_ghost-lostkingsremix', 'owlcity_unbelievable']",['ethanpierce_darkskies']
752,"['halsey_ghost-lostkingsremix', 'ethanpierce_darkskies']",['owlcity_unbelievable']
753,"['owlcity_unbelievable', 'ethanpierce_darkskies']",['halsey_ghost-lostkingsremix']
754,"['halsey_ghost-lostkingsremix', 'mario_ichooseyou']",['owlcity_unbelievable']
755,"['halsey_ghost-lostkingsremix', 'owlcity_unbelievable']",['mario_ichooseyou']
756,"['mario_ichooseyou', 'owlcity_unbelievable']",['halsey_ghost-lostkingsremix']
757,"['halsey_ghost-lostkingsremix', 'mario_ichooseyou']",['ethanpierce_darkskies']
758,"['halsey_ghost-lostkingsremix', 'ethanpierce_darkskies']",['mario_ichooseyou']
759,"['ethanpierce_darkskies', 'douglocke_#thiscouldbeus']",['sigala_easylove']
760,"['sigala_easylove', 'douglocke_#thiscouldbeus']",['ethanpierce_darkskies']
761,"['frances_letitout', 'sigala_easylove']",['ethanpierce_darkskies']
762,"['sigala_easylove', 'empireofthesun_wearethepeople']",['ethanpierce_darkskies']
763,"['owlcity_unbelievable', 'sigala_easylove']",['ethanpierce_darkskies']
764,"['owlcity_unbelievable', 'ethanpierce_darkskies']",['sigala_easylove']
765,"['mario_ichooseyou', 'owlcity_unbelievable']",['sigala_easylove']
766,"['mario_ichooseyou', 'sigala_easylove']",['owlcity_unbelievable']
767,"['owlcity_unbelievable', 'sigala_easylove']",['mario_ichooseyou']
768,"['mario_ichooseyou', 'sigala_easylove']",['ethanpierce_darkskies']
769,"['mario_ichooseyou', 'ethanpierce_darkskies']",['sigala_easylove']
770,"['frances_letitout', 'douglocke_#thiscouldbeus']",['ethanpierce_darkskies']
771,"['owlcity_unbelievable', 'ethanpierce_darkskies']",['douglocke_#thiscouldbeus']
772,"['owlcity_unbelievable', 'douglocke_#thiscouldbeus']",['ethanpierce_darkskies']
773,"['shayneward_nouhangup', 'edsheeran_photograph']",['arizona_whereiwannabe']
774,"['arizona_whereiwannabe', 'edsheeran_photograph']",['shayneward_nouhangup']
775,"['frances_letitout', 'kooljohn_bluehunnids']",['empireofthesun_wearethepeople']
776,"['empireofthesun_wearethepeople', 'kooljohn_bluehunnids']",['frances_letitout']
777,"['johnnyswim_diamonds', 'kooljohn_bluehunnids']",['frances_letitout']
778,"['frances_letitout', 'kooljohn_bluehunnids']",['johnnyswim_diamonds']
779,"['frances_letitout', 'kooljohn_bluehunnids']",['ethanpierce_darkskies']
780,"['johnnyswim_diamonds', 'kooljohn_bluehunnids']",['empireofthesun_wearethepeople']
781,"['empireofthesun_wearethepeople', 'kooljohn_bluehunnids']",['johnnyswim_diamonds']
782,"['empireofthesun_wearethepeople', 'kooljohn_bluehunnids']",['ethanpierce_darkskies']
783,"['johnnyswim_diamonds', 'kooljohn_bluehunnids']",['ethanpierce_darkskies']
784,"['johnnyswim_diamonds', 'frances_letitout']",['empireofthesun_wearethepeople']
785,"['johnnyswim_diamonds', 'empireofthesun_wearethepeople']",['frances_letitout']
786,"['frances_letitout', 'empireofthesun_wearethepeople']",['johnnyswim_diamonds']
787,"['frances_letitout', 'owlcity_unbelievable']",['ethanpierce_darkskies']
788,"['owlcity_unbelievable', 'ethanpierce_darkskies']",['frances_letitout']
789,"['mario_ichooseyou', 'frances_letitout']",['ethanpierce_darkskies']
790,"['johnnyswim_diamonds', ""joeladams_pleasedon'tgo""]",['empireofthesun_wearethepeople']
791,"[""joeladams_pleasedon'tgo"", 'empireofthesun_wearethepeople']",['johnnyswim_diamonds']
792,"['owlcity_unbelievable', 'saintwknd_golden']",['ethanpierce_darkskies']
793,"['owlcity_unbelievable', 'ethanpierce_darkskies']",['saintwknd_golden']
794,"['mario_ichooseyou', 'owlcity_unbelievable']",['ethanpierce_darkskies']
795,"['mario_ichooseyou', 'ethanpierce_darkskies']",['owlcity_unbelievable']
796,"['owlcity_unbelievable', 'ethanpierce_darkskies']",['mario_ichooseyou']
797,"[""joeladams_pleasedon'tgo"", 'ladyantebellum_americanhoney']","[""bretteldredge_don'tya""]"
798,"[""joeladams_pleasedon'tgo"", ""bretteldredge_don'tya""]",['ladyantebellum_americanhoney']
799,"['ladyantebellum_americanhoney', ""bretteldredge_don'tya""]","[""joeladams_pleasedon'tgo""]"
800,"['zacbrownband_toes', ""joeladams_pleasedon'tgo""]","[""bretteldredge_don'tya""]"
801,"['zacbrownband_toes', ""bretteldredge_don'tya""]","[""joeladams_pleasedon'tgo""]"
802,"[""joeladams_pleasedon'tgo"", ""bretteldredge_don'tya""]",['zacbrownband_toes']
803,"['johnnyswim_diamonds', ""joeladams_pleasedon'tgo""]",['ethanpierce_darkskies']
804,"[""joeladams_pleasedon'tgo"", 'ethanpierce_darkskies']",['johnnyswim_diamonds']
805,"['johnnyswim_diamonds', 'saintwknd_golden']",['ethanpierce_darkskies']
806,"[""run–d.m.c._it'stricky"", 'zacbrownband_kneedeep(feat.jimmybuffett)']",['brantleygilbert_countrymustbecountrywide']
807,"[""run–d.m.c._it'stricky"", 'brantleygilbert_countrymustbecountrywide']",['zacbrownband_kneedeep(feat.jimmybuffett)']
808,"['zacbrownband_kneedeep(feat.jimmybuffett)', 'brantleygilbert_countrymustbecountrywide']","[""run–d.m.c._it'stricky""]"
809,"[""run–d.m.c._it'stricky""]","['zacbrownband_kneedeep(feat.jimmybuffett)', 'brantleygilbert_countrymustbecountrywide']"
810,['brantleygilbert_countrymustbecountrywide'],"[""run–d.m.c._it'stricky"", 'zacbrownband_kneedeep(feat.jimmybuffett)']"
811,"['zacbrownband_kneedeep(feat.jimmybuffett)', 'brantleygilbert_countrymustbecountrywide']",['iconapop_iloveit(feat.charlixcx)-feat.charlixcx[originalversion]']
812,"['zacbrownband_kneedeep(feat.jimmybuffett)', 'iconapop_iloveit(feat.charlixcx)-feat.charlixcx[originalversion]']",['brantleygilbert_countrymustbecountrywide']
813,"['brantleygilbert_countrymustbecountrywide', 'iconapop_iloveit(feat.charlixcx)-feat.charlixcx[originalversion]']",['zacbrownband_kneedeep(feat.jimmybuffett)']
814,['brantleygilbert_countrymustbecountrywide'],"['zacbrownband_kneedeep(feat.jimmybuffett)', 'iconapop_iloveit(feat.charlixcx)-feat.charlixcx[originalversion]']"
815,['iconapop_iloveit(feat.charlixcx)-feat.charlixcx[originalversion]'],"['zacbrownband_kneedeep(feat.jimmybuffett)', 'brantleygilbert_countrymustbecountrywide']"
816,"['lukebryan_nightone', 'lukebryan_suntancity']",['lukebryan_shegetmehigh']
817,"['lukebryan_suntancity', 'lukebryan_shegetmehigh']",['lukebryan_nightone']
818,"['lukebryan_nightone', 'lukebryan_shegetmehigh']",['mileycyrus_fu']
819,"['lukebryan_nightone', 'mileycyrus_fu']",['lukebryan_shegetmehigh']
820,"['lukebryan_shegetmehigh', 'mileycyrus_fu']",['lukebryan_nightone']
821,"['lukebryan_nightone', 'travisatreo_youareinlove']",['lukebryan_shegetmehigh']
822,"['travisatreo_youareinlove', 'lukebryan_shegetmehigh']",['lukebryan_nightone']
823,"['lukebryan_suntancity', 'lukebryan_shegetmehigh']",['mileycyrus_fu']
824,"['lukebryan_suntancity', 'mileycyrus_fu']",['lukebryan_shegetmehigh']
825,"['travisatreo_youareinlove', 'lukebryan_shegetmehigh']",['lukebryan_suntancity']
826,"['lukebryan_suntancity', 'lukebryan_shegetmehigh']",['travisatreo_youareinlove']
827,"['lukebryan_shegetmehigh', '&fabolous']",['mileycyrus_fu']
828,"['mileycyrus_fu', '&fabolous']",['lukebryan_shegetmehigh']
829,"['kidink_bereal', 'lukebryan_shegetmehigh']",['mileycyrus_fu']
830,"['kidink_bereal', 'mileycyrus_fu']",['lukebryan_shegetmehigh']
831,"['travisatreo_youareinlove', 'lukebryan_shegetmehigh']",['mileycyrus_fu']
832,"['travisatreo_youareinlove', 'mileycyrus_fu']",['lukebryan_shegetmehigh']
833,"['lukebryan_shegetmehigh', 'jackjohnson_igotyou']",['davematthews_sister-liveatradiocity']
834,"['davematthews_sister-liveatradiocity', 'jackjohnson_igotyou']",['lukebryan_shegetmehigh']
835,"['davematthews_sister-liveatradiocity', 'lukebryan_shegetmehigh']",['jackjohnson_igotyou']
836,"['lukebryan_nightone', 'lukebryan_suntancity']",['mileycyrus_fu']
837,"['lukebryan_suntancity', 'mileycyrus_fu']",['lukebryan_nightone']
838,"['lukebryan_nightone', 'lukebryan_suntancity']",['travisatreo_youareinlove']
839,"['lukebryan_nightone', 'travisatreo_youareinlove']",['lukebryan_suntancity']
840,"['travisatreo_youareinlove', 'lukebryan_suntancity']",['lukebryan_nightone']
841,"['jimmybuffett_remittanceman', 'lukebryan_nightone']",['mileycyrus_fu']
842,"['jimmybuffett_remittanceman', 'mileycyrus_fu']",['lukebryan_nightone']
843,"['lukebryan_nightone', 'travisatreo_youareinlove']",['mileycyrus_fu']
844,"['travisatreo_youareinlove', 'mileycyrus_fu']",['lukebryan_nightone']
845,"['kidink_bereal', 'lukebryan_suntancity']",['mileycyrus_fu']
846,"['kidink_bereal', 'mileycyrus_fu']",['lukebryan_suntancity']
847,"['lukebryan_suntancity', 'mileycyrus_fu']",['kidink_bereal']
848,"['travisatreo_youareinlove', 'mileycyrus_fu']",['lukebryan_suntancity']
849,"['lukebryan_suntancity', 'mileycyrus_fu']",['travisatreo_youareinlove']
850,"['travisatreo_youareinlove', 'jackjohnson_igotyou']",['lukebryan_suntancity']
851,"['lukebryan_suntancity', 'jackjohnson_igotyou']",['travisatreo_youareinlove']
852,"['sanholo_fly', 'boyslikegirls_twoisbetterthanone']",['mileycyrus_fu']
853,"['sanholo_fly', 'mileycyrus_fu']",['boyslikegirls_twoisbetterthanone']
854,"['boyslikegirls_twoisbetterthanone', 'mileycyrus_fu']",['sanholo_fly']
855,"['jimmybuffett_remittanceman', 'travisatreo_youareinlove']",['mileycyrus_fu']
856,"['jimmybuffett_remittanceman', 'mileycyrus_fu']",['travisatreo_youareinlove']
857,"['travisatreo_youareinlove', 'mileycyrus_fu']",['jimmybuffett_remittanceman']
858,"['drewholcomb&theneighbors_whatwouldidowithoutyou', 'jackjohnson_igotyou']","[""oliviao'brien_complicated""]"
859,"['drewholcomb&theneighbors_whatwouldidowithoutyou', ""oliviao'brien_complicated""]",['jackjohnson_igotyou']
860,"['jackjohnson_igotyou', ""oliviao'brien_complicated""]",['drewholcomb&theneighbors_whatwouldidowithoutyou']
861,['drewholcomb&theneighbors_whatwouldidowithoutyou'],"['jackjohnson_igotyou', ""oliviao'brien_complicated""]"
862,"['drewholcomb&theneighbors_whatwouldidowithoutyou', 'cityandcolour_thegirl']","[""oliviao'brien_complicated""]"
863,"['drewholcomb&theneighbors_whatwouldidowithoutyou', ""oliviao'brien_complicated""]",['cityandcolour_thegirl']
864,"['cityandcolour_thegirl', ""oliviao'brien_complicated""]",['drewholcomb&theneighbors_whatwouldidowithoutyou']
865,['drewholcomb&theneighbors_whatwouldidowithoutyou'],"['cityandcolour_thegirl', ""oliviao'brien_complicated""]"
866,['cityandcolour_thegirl'],"['drewholcomb&theneighbors_whatwouldidowithoutyou', ""oliviao'brien_complicated""]"
867,"['bigsean_light', ""bigsean_idon'tfuckwithyou"", 'raesremmurd_comegether']",['merlehaggard&thestrangers_kentuckygambler']
868,"['bigsean_light', ""bigsean_idon'tfuckwithyou"", 'merlehaggard&thestrangers_kentuckygambler']",['raesremmurd_comegether']
869,"['bigsean_light', 'raesremmurd_comegether', 'merlehaggard&thestrangers_kentuckygambler']","[""bigsean_idon'tfuckwithyou""]"
870,"[""bigsean_idon'tfuckwithyou"", 'raesremmurd_comegether', 'merlehaggard&thestrangers_kentuckygambler']",['bigsean_light']
871,"['bigsean_light', 'raesremmurd_comegether']","[""bigsean_idon'tfuckwithyou"", 'merlehaggard&thestrangers_kentuckygambler']"
